table_index,csv_path,headings,rows,cols
60,"tables/감사보고서_2014_table_060_삼성전자주식회사_감사보고서_제2014기__주석__17._순확정급여부채(자산),_계속__마..csv","삼성전자주식회사 감사보고서 제2014기 > 주석 > 17. 순확정급여부채(자산), 계속 > 마. 당기 및 전기 중 사외적립자산 공정가치의 변동내역은 다음과 같습니다.",8,3
61,"tables/감사보고서_2014_table_061_삼성전자주식회사_감사보고서_제2014기__주석__17._순확정급여부채(자산),_계속__사..csv","삼성전자주식회사 감사보고서 제2014기 > 주석 > 17. 순확정급여부채(자산), 계속 > 사. 보고기간종료일 현재 사용한 주요 보험수리적 가정은 다음과 같습니다.",3,3
62,"tables/감사보고서_2014_table_062_삼성전자주식회사_감사보고서_제2014기__주석__17._순확정급여부채(자산),_계속__아..csv","삼성전자주식회사 감사보고서 제2014기 > 주석 > 17. 순확정급여부채(자산), 계속 > 아. 보고기간종료일 현재 주요 가정의 변동에 따른 확정급여채무의 민감도 분석은 다음과 같습니다.",7,3
63,"tables/감사보고서_2014_table_063_삼성전자주식회사_감사보고서_제2014기__주석__17._순확정급여부채(자산),_계속__자..csv","삼성전자주식회사 감사보고서 제2014기 > 주석 > 17. 순확정급여부채(자산), 계속 > 자. 보고기간종료일 현재 급여지급액의 만기구성 정보는 다음과 같습니다.",2,6
64,tables/감사보고서_2014_table_064_삼성전자주식회사_감사보고서_제2014기__주석__18._충당부채.csv,삼성전자주식회사 감사보고서 제2014기 > 주석 > 18. 충당부채,6,6
65,tables/감사보고서_2014_table_065_삼성전자주식회사_감사보고서_제2014기__주석__19._우발부채와_약정사항__가._지급보증.csv,삼성전자주식회사 감사보고서 제2014기 > 주석 > 19. 우발부채와 약정사항 > 가. 지급보증한 내역,5,3
66,"tables/감사보고서_2014_table_066_삼성전자주식회사_감사보고서_제2014기__주석__19._우발부채와_약정사항,_계속.csv","삼성전자주식회사 감사보고서 제2014기 > 주석 > 19. 우발부채와 약정사항, 계속",16,5
67,tables/감사보고서_2014_table_067_삼성전자주식회사_감사보고서_제2014기__주석__20._자본금.csv,삼성전자주식회사 감사보고서 제2014기 > 주석 > 20. 자본금,8,3
68,tables/감사보고서_2014_table_068_삼성전자주식회사_감사보고서_제2014기__주석__21._이익잉여금__가._보고기간종료일_현.csv,삼성전자주식회사 감사보고서 제2014기 > 주석 > 21. 이익잉여금 > 가. 보고기간종료일 현재 이익잉여금의 내역은 다음과 같습니다.,14,3
69,"tables/감사보고서_2014_table_069_삼성전자주식회사_감사보고서_제2014기__주석__21._이익잉여금,_계속__나._당기_및_.csv","삼성전자주식회사 감사보고서 제2014기 > 주석 > 21. 이익잉여금, 계속 > 나. 당기 및 전기의 회사의 이익잉여금처분계산서는 다음과 같습니다.",11,5
70,tables/감사보고서_2014_table_070_삼성전자주식회사_감사보고서_제2014기__주석__22._주당배당금__가._중간배당_(배당기.csv,삼성전자주식회사 감사보고서 제2014기 > 주석 > 22. 주당배당금 > 가. 중간배당 (배당기준일,7,4
71,tables/감사보고서_2014_table_071_삼성전자주식회사_감사보고서_제2014기__주석__22._주당배당금__나._기말배당_(배당기.csv,삼성전자주식회사 감사보고서 제2014기 > 주석 > 22. 주당배당금 > 나. 기말배당 (배당기준일,8,4
72,tables/감사보고서_2014_table_072_삼성전자주식회사_감사보고서_제2014기__주석__23._기타자본항목__가._보고기간종료일_.csv,삼성전자주식회사 감사보고서 제2014기 > 주석 > 23. 기타자본항목 > 가. 보고기간종료일 현재 기타자본항목의 내역은 다음과 같습니다.,7,3
73,tables/감사보고서_2014_table_073_삼성전자주식회사_감사보고서_제2014기__주석__23._기타자본항목__나._자기주식.csv,삼성전자주식회사 감사보고서 제2014기 > 주석 > 23. 기타자본항목 > 나. 자기주식,4,5
74,tables/감사보고서_2014_table_074_삼성전자주식회사_감사보고서_제2014기__주석__24._주식기준보상.csv,삼성전자주식회사 감사보고서 제2014기 > 주석 > 24. 주식기준보상,13,4
75,tables/감사보고서_2014_table_075_삼성전자주식회사_감사보고서_제2014기__주석__25._비용의_성격별_분류.csv,삼성전자주식회사 감사보고서 제2014기 > 주석 > 25. 비용의 성격별 분류,11,3
76,tables/감사보고서_2014_table_076_삼성전자주식회사_감사보고서_제2014기__주석__26._판매비와관리비.csv,삼성전자주식회사 감사보고서 제2014기 > 주석 > 26. 판매비와관리비,18,3
77,tables/감사보고서_2014_table_077_삼성전자주식회사_감사보고서_제2014기__주석__27._기타수익_및_기타비용.csv,삼성전자주식회사 감사보고서 제2014기 > 주석 > 27. 기타수익 및 기타비용,14,3
78,tables/감사보고서_2014_table_078_삼성전자주식회사_감사보고서_제2014기__주석__28._금융수익_및_금융비용__가._당기_.csv,삼성전자주식회사 감사보고서 제2014기 > 주석 > 28. 금융수익 및 금융비용 > 가. 당기 및 전기 중 금융수익과 금융비용의 내역은 다음과 같습니다.,15,3
79,tables/감사보고서_2014_table_079_삼성전자주식회사_감사보고서_제2014기__주석__29._법인세비용__가._당기_및_전기_중.csv,삼성전자주식회사 감사보고서 제2014기 > 주석 > 29. 법인세비용 > 가. 당기 및 전기 중 법인세비용의 주요 구성내역은 다음과 같습니다.,9,3
80,tables/감사보고서_2014_table_080_삼성전자주식회사_감사보고서_제2014기__주석__29._법인세비용__나._회사의_법인세비용.csv,삼성전자주식회사 감사보고서 제2014기 > 주석 > 29. 법인세비용 > 나. 회사의 법인세비용차감전순이익에 대한 법인세비용과 적용세율을 사용하여 이론적으로 계산된 금액과의 차이는 다음과 같습니다.,9,3
81,"tables/감사보고서_2014_table_081_삼성전자주식회사_감사보고서_제2014기__주석__29._법인세비용,_계속__다._당기_및_.csv","삼성전자주식회사 감사보고서 제2014기 > 주석 > 29. 법인세비용, 계속 > 다. 당기 및 전기 중 주요 누적일시적차이 및 이연법인세자산(부채)의 증감내역",21,7
82,"tables/감사보고서_2014_table_082_삼성전자주식회사_감사보고서_제2014기__주석__29._법인세비용,_계속.csv","삼성전자주식회사 감사보고서 제2014기 > 주석 > 29. 법인세비용, 계속",21,7
83,"tables/감사보고서_2014_table_083_삼성전자주식회사_감사보고서_제2014기__주석__29._법인세비용,_계속__라._보고기간종.csv","삼성전자주식회사 감사보고서 제2014기 > 주석 > 29. 법인세비용, 계속 > 라. 보고기간종료일 현재 이연법인세자산 및 부채의 장단기 구분은 다음과 같습니다.",4,3
84,tables/감사보고서_2014_table_084_삼성전자주식회사_감사보고서_제2014기__주석__30._주당이익__가._기본주당순이익당기_.csv,삼성전자주식회사 감사보고서 제2014기 > 주석 > 30. 주당이익 > 가. 기본주당순이익당기 및 전기 중 기본주당이익 산정내역은 다음과 같습니다.(1) 보통주,5,3
85,tables/감사보고서_2014_table_085_삼성전자주식회사_감사보고서_제2014기__주석__30._주당이익__가._기본주당순이익당기_.csv,삼성전자주식회사 감사보고서 제2014기 > 주석 > 30. 주당이익 > 가. 기본주당순이익당기 및 전기 중 기본주당이익 산정내역은 다음과 같습니다.(1) 보통주,5,3
86,"tables/감사보고서_2014_table_086_삼성전자주식회사_감사보고서_제2014기__주석__30._주당이익,_계속__나._희석주당순이.csv","삼성전자주식회사 감사보고서 제2014기 > 주석 > 30. 주당이익, 계속 > 나. 희석주당순이익",4,3
87,"tables/감사보고서_2014_table_087_삼성전자주식회사_감사보고서_제2014기__주석__30._주당이익,_계속__나._희석주당순이.csv","삼성전자주식회사 감사보고서 제2014기 > 주석 > 30. 주당이익, 계속 > 나. 희석주당순이익",4,3
88,tables/감사보고서_2014_table_088_삼성전자주식회사_감사보고서_제2014기__주석__31._현금흐름표__가._당기_및_전기_중.csv,삼성전자주식회사 감사보고서 제2014기 > 주석 > 31. 현금흐름표 > 가. 당기 및 전기 중 영업활동현금흐름의 조정내역 및 영업활동으로 인한 자산부채의 변동,16,3
89,"tables/감사보고서_2014_table_089_삼성전자주식회사_감사보고서_제2014기__주석__31._현금흐름표,_계속.csv","삼성전자주식회사 감사보고서 제2014기 > 주석 > 31. 현금흐름표, 계속",16,3
90,"tables/감사보고서_2014_table_090_삼성전자주식회사_감사보고서_제2014기__주석__31._현금흐름표,_계속__나._회사의_현.csv","삼성전자주식회사 감사보고서 제2014기 > 주석 > 31. 현금흐름표, 계속 > 나. 회사의 현금흐름표는 간접법에 의해 작성되었으며",7,3
91,"tables/감사보고서_2014_table_091_삼성전자주식회사_감사보고서_제2014기__주석__32._재무위험관리,_계속__가._시장위험.csv","삼성전자주식회사 감사보고서 제2014기 > 주석 > 32. 재무위험관리, 계속 > 가. 시장위험 > (1) 환율변동위험",5,5
92,"tables/감사보고서_2014_table_092_삼성전자주식회사_감사보고서_제2014기__주석__32._재무위험관리,_계속__다._유동성_.csv","삼성전자주식회사 감사보고서 제2014기 > 주석 > 32. 재무위험관리, 계속 > 다. 유동성 위험",2,6
93,"tables/감사보고서_2014_table_093_삼성전자주식회사_감사보고서_제2014기__주석__32._재무위험관리,_계속__다._유동성_.csv","삼성전자주식회사 감사보고서 제2014기 > 주석 > 32. 재무위험관리, 계속 > 다. 유동성 위험",2,6
94,"tables/감사보고서_2014_table_094_삼성전자주식회사_감사보고서_제2014기__주석__32._재무위험관리,_계속__라._자본위험.csv","삼성전자주식회사 감사보고서 제2014기 > 주석 > 32. 재무위험관리, 계속 > 라. 자본위험관리",4,3
95,"tables/감사보고서_2014_table_095_삼성전자주식회사_감사보고서_제2014기__주석__32._재무위험관리,_계속__마._공정가치.csv","삼성전자주식회사 감사보고서 제2014기 > 주석 > 32. 재무위험관리, 계속 > 마. 공정가치 측정 > (1) 보고기간종료일 현재 금융상품의 장부금액과 공정가치는 다음과 같습니다.",19,5
96,"tables/감사보고서_2014_table_096_삼성전자주식회사_감사보고서_제2014기__주석__32._재무위험관리,_계속__(2)_보고기.csv","삼성전자주식회사 감사보고서 제2014기 > 주석 > 32. 재무위험관리, 계속 > (2) 보고기간종료일 현재 공정가치로 측정되",6,5
97,"tables/감사보고서_2014_table_097_삼성전자주식회사_감사보고서_제2014기__주석__32._재무위험관리,_계속__(2)_보고기.csv","삼성전자주식회사 감사보고서 제2014기 > 주석 > 32. 재무위험관리, 계속 > (2) 보고기간종료일 현재 공정가치로 측정되",5,5
98,"tables/감사보고서_2014_table_098_삼성전자주식회사_감사보고서_제2014기__주석__32._재무위험관리,_계속__나._Leve.csv","삼성전자주식회사 감사보고서 제2014기 > 주석 > 32. 재무위험관리, 계속 > 나. Level 3로 분류된 주요 금융상품에 대하여 사용된 가치평가기법과 투입변수는",7,5
99,"tables/감사보고서_2014_table_099_삼성전자주식회사_감사보고서_제2014기__주석__32._재무위험관리,_계속__(4)_Lev.csv","삼성전자주식회사 감사보고서 제2014기 > 주석 > 32. 재무위험관리, 계속 > (4) Level 3에 해당하는 금융상품의 변동내역",8,3
100,"tables/감사보고서_2014_table_100_삼성전자주식회사_감사보고서_제2014기__주석__32._재무위험관리,_계속__(5)_Lev.csv","삼성전자주식회사 감사보고서 제2014기 > 주석 > 32. 재무위험관리, 계속 > (5) Level 3로 분류된 반복적인 공정가치 측정치의 민감도분석",3,5
101,"tables/감사보고서_2014_table_101_삼성전자주식회사_감사보고서_제2014기__주석__32._재무위험관리,_계속__(6)_보고기.csv","삼성전자주식회사 감사보고서 제2014기 > 주석 > 32. 재무위험관리, 계속 > (6) 보고기간종료일 현재 공정가치로 측정되지",7,6
102,"tables/감사보고서_2014_table_102_삼성전자주식회사_감사보고서_제2014기__주석__32._재무위험관리,_계속__(6)_보고기.csv","삼성전자주식회사 감사보고서 제2014기 > 주석 > 32. 재무위험관리, 계속 > (6) 보고기간종료일 현재 공정가치로 측정되지",7,6
103,"tables/감사보고서_2014_table_103_삼성전자주식회사_감사보고서_제2014기__주석__33._특수관계자와의_거래__가._지배,_.csv","삼성전자주식회사 감사보고서 제2014기 > 주석 > 33. 특수관계자와의 거래 > 가. 지배, 종속관계",19,4
104,"tables/감사보고서_2014_table_104_삼성전자주식회사_감사보고서_제2014기__주석__33._특수관계자와의_거래,_계속.csv","삼성전자주식회사 감사보고서 제2014기 > 주석 > 33. 특수관계자와의 거래, 계속",31,4
105,"tables/감사보고서_2014_table_105_삼성전자주식회사_감사보고서_제2014기__주석__33._특수관계자와의_거래,_계속.csv","삼성전자주식회사 감사보고서 제2014기 > 주석 > 33. 특수관계자와의 거래, 계속",26,4
106,"tables/감사보고서_2014_table_106_삼성전자주식회사_감사보고서_제2014기__주석__33._특수관계자와의_거래,_계속.csv","삼성전자주식회사 감사보고서 제2014기 > 주석 > 33. 특수관계자와의 거래, 계속",32,4
